DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 19:54:57.14439,1576257,131421,6291532,11141331,14024766,11862142,4063268,16515104,64,66
2016/02/13/ 19:54:58.13964,1573101,4915383,10223631,3145754,13697075,1835025,12517386,131076,66,53
2016/02/13/ 19:54:59.14407,1582061,10683111,7929910,16515251,11599956,9633839,720920,9240612,44,47
2016/02/13/ 19:55:00.11287,1574826,7798948,1769553,15794332,5242901,196644,6422559,11141141,35,56
2016/02/13/ 19:55:01.09729,1575170,14876894,14155953,1245270,13238422,14745641,9961505,3670042,26,57
2016/02/13/ 19:55:02.09734,1574274,8716641,15270166,14090281,2162846,15466573,10551349,3276811,29,67
2016/02/13/ 19:55:03.08176,1572983,5046323,16318510,1703979,2555949,3407958,458796,6946843,56,74
2016/02/13/ 19:55:04.09744,1573291,12451920,7602185,11337737,7864352,11075601,6684682,65539,61,54
2016/02/13/ 19:55:05.11311,1573313,13173032,13238422,524323,6553718,2097211,6815767,131093,64,50
2016/02/13/ 19:55:06.06629,1573071,393727,4325428,16449569,2621603,14155942,14680078,2949140,75,35
2016/02/13/ 19:55:07.07465,1574512,10551700,327719,15597586,15204466,393305,2097171,1507336,63,21
2016/02/13/ 19:55:08.05907,1572891,8519708,786452,12976143,1769505,10027015,917513,1769477,57,34
2016/02/13/ 19:55:09.07474,1573104,2752552,7733279,1376278,14614538,15794180,4128770,14090241,50,41
2016/02/13/ 19:55:10.02792,1573422,6160502,458768,9699355,8585243,8585231,9306130,9043974,40,50
2016/02/13/ 19:55:11.04359,1581808,13566238,5111920,13500489,1835348,8978530,10485871,12255252,40,57
2016/02/13/ 19:55:12.05927,1573069,16449941,16515088,7274512,11468827,9568269,983047,6881290,27,43
2016/02/13/ 19:55:13.02806,1573160,16187410,13697031,14614544,6619155,4128776,13107206,2818055,41,37
2016/02/13/ 19:55:14.02811,1577244,2425667,10354854,6160421,10289228,12648502,11141144,13893643,35,34
2016/02/13/ 19:55:15.02816,1573208,2752569,852008,10223649,2883650,6422576,7733268,1048584,41,40
2016/02/13/ 19:55:16.01258,1575327,8651057,12648472,15335564,10092631,10289233,196637,12517391,57,51
2016/02/13/ 19:55:16.99168,1573492,4129353,6946891,7340099,6357099,1703980,8978468,5242904,47,43
2016/02/13/ 19:55:18.02298,1574083,7864420,7929876,4849715,1179668,3932171,5308448,1179667,50,51
2016/02/13/ 19:55:19.00740,1574200,5308711,1376553,3080270,6488115,10747962,2687019,1310735,35,57
2016/02/13/ 19:55:20.00745,1573998,8060987,5767194,14811161,1310745,11010076,9306132,9568270,40,60
2016/02/13/ 19:55:20.99187,1576354,7931397,1704008,12714097,10813926,4980883,1245291,14221371,43,51
2016/02/13/ 19:55:21.99192,1578403,8193816,3736397,14484436,16449728,3604740,9044202,6422727,43,56
2016/02/13/ 19:55:22.99197,1576528,14287267,10682624,1573048,6684735,13959256,1245208,5439523,44,54
2016/02/13/ 19:55:23.97639,1580510,8454651,2424871,4980758,7536665,13238299,7208982,12648459,27,43
2016/02/13/ 19:55:24.97644,1576012,13304598,11206879,1376455,12976195,9371802,14483533,10158115,30,57
2016/02/13/ 19:55:25.96087,1576703,11141487,11272240,5767323,8585373,16187576,15597622,13041689,47,48
2016/02/13/ 19:55:26.97654,1573163,590117,3670091,5177406,15400971,1114129,15794191,10944520,37,41
2016/02/13/ 19:55:27.96096,1581295,917676,1376631,7405853,12386395,9764953,2818083,11730959,44,66
2016/02/13/ 19:55:28.96101,1573501,2949163,1900577,14680070,15597573,5439492,1114116,5111814,37,74
2016/02/13/ 19:55:29.92981,1573899,983584,4849735,6422569,3866673,5111845,16252945,1703943,17,69
2016/02/13/ 19:55:30.94549,1579858,12977295,15663393,13172822,7471550,9306356,4522134,14549082,34,61
2016/02/13/ 19:55:31.92991,1576060,9307970,15401062,14549178,1769658,13893888,7471145,4522001,35,38
2016/02/13/ 19:55:32.91433,1573143,1179772,11337775,16252973,3407898,2490395,5046286,6094854,43,35
2016/02/13/ 19:55:33.93001,1576813,10814050,6094949,11993157,3342444,2556002,14286874,1310736,51,37
2016/02/13/ 19:55:34.93006,1573250,6422610,7929884,10747930,11599893,9240591,8323081,3932165,48,43
2016/02/13/ 19:55:35.93011,1580766,8520598,16056649,1900632,9633912,2424903,8388647,3735579,40,53
2016/02/13/ 19:55:36.91453,1574355,65865,786435,4325390,6422561,2555931,4194318,7733265,35,30
2016/02/13/ 19:55:37.91458,1573162,15990795,7733253,9175046,524297,1376259,327683,9175042,35,40
2016/02/13/ 19:55:38.88338,1574349,3342756,14286904,7536657,1114141,8519697,8847385,1114115,23,29
2016/02/13/ 19:55:39.88343,1578247,12518212,6881338,16646268,12714219,11337890,14549065,13500478,35,21
