Time,0.1~4,4~7.5,8~13,13~30,30~70
2016_02_13_19_55_00_11287,194297.617306394,206727.573380219,197528.599219543,270004.913346134,295620.854235976
2016_02_13_19_55_04_09744,231539.583113948,155161.61804486,165144.138778373,242059.474286417,268814.041085873
2016_02_13_19_55_08_05907,357649.153730604,363359.925681395,213121.439635626,338040.770296872,298634.75636417
2016_02_13_19_55_12_09052,548374.237117018,294605.594989687,203592.521118651,312796.779546396,332388.156656864
2016_02_13_19_55_16_05946,689327.295982394,379259.639933977,238779.15934081,368488.140235258,336961.422455992
2016_02_13_19_55_20_03870,263485.607791484,213033.61026622,198853.273449112,283212.786606637,326068.972270088
2016_02_13_19_55_24_02327,1032608.64391122,649461.745905761,372960.544830202,639568.22837691,576417.700878893
2016_02_13_19_55_28_00784,752864.664084914,449559.985890133,480225.032132084,604476.673043118,493901.325488291
2016_02_13_19_55_32_00804,387928.030461218,297046.974427956,220158.716582113,465417.520053933,384739.01862745
2016_02_13_19_55_35_96136,888571.240224824,647334.405893399,443464.706988404,472838.706880507,380899.823504116
2016_02_13_19_55_39_97718,364278.951280322,199071.606873466,171996.613882715,279758.311369723,341035.120049636
2016_02_13_19_55_43_97738,813523.015506411,364262.776980496,370775.690065034,387265.832043679,359125.192759835
2016_02_13_19_55_47_96195,370106.322661485,362807.575671282,246035.424365591,416139.740305113,378551.560265627
2016_02_13_19_55_51_93824,500598.707226879,298983.978052188,234630.077615751,363511.951168943,361149.319937072
2016_02_13_19_55_55_92952,247767.780260078,217419.613829429,183088.381390575,313217.159463463,285195.914189023
2016_02_13_19_55_59_89846,435747.285173542,402480.160208323,295388.758875182,332728.012589634,332987.301368829
2016_02_13_19_56_03_86740,1604447.66330321,814546.418065633,734964.810898262,973461.949437899,812616.122590714
2016_02_13_19_56_07_91447,2171698.64156876,1528675.86792648,1075914.52682177,1777586.20930719,1386253.83143643
2016_02_13_19_56_11_88342,3072086.28191821,2805068.13355537,2400274.56861074,2715374.53193391,2824032.47174824
