
1445564132.263:  FF 4E 30 AA AA 04 80 02 FD 5A 26
1445564132.271:  AA AA 04 80 02 FE 7B 04
1445564132.271:  AA AA 04 80 02 00 48 35
1445564132.272:  AA AA 04 80 02 FE 7C 03
1445564132.272:  AA AA 04 80 02 FD CE B2
1445564132.272:  AA AA 04 80 02 00 E7 96
1445564132.272:  AA AA 04 80 02 03 49 31
1445564132.272:  AA AA 04 80 02 01 88 F4
1445564132.272:  AA AA 04 80 02 FD 5F 21
1445564132.272:  AA AA 04 80 02 FE 92 ED
1445564132.272:  AA AA 04 80 02 02 BA C1
1445564132.272:  AA AA 04 80 02 01 E0 9C
1445564132.272:  AA AA 04 80 02 FE 2A 55
1445564132.272:  AA AA 04 80 02 FE 98 E7
1445564132.272:  AA AA 04 80 02 02 14 67
1445564132.272:  AA AA 04 80 02 01 B4 C8
1445564132.272:  AA AA 04 80 02 FE F3 8C
1445564132.272:  AA AA 04 80 02 FE DF A0
1445564132.272:  AA AA 04 80 02 02 18 63
1445564132.272:  AA AA 04 80 02 03 56 24
1445564132.272:  AA AA 04 80 02 FF 8C F2
1445564132.272:  AA AA 04 80 02 FD 49 37
1445564132.272:  AA AA 04 80 02 00 66 17
1445564132.272:  AA AA 04 80 02 03 57 23
1445564132.272:  AA AA 04 80 02 00 EA 93
1445564132.272:  AA AA 04 80 02 FE 2A 55
1445564132.272:  AA AA 04 80 02 FF 74 0A
1445564132.338:  AA AA 04 80 02 02 C3 B8
1445564132.338:  AA AA 04 80 02 01 D3 A9
1445564132.339:  AA AA 04 80 02 FE 18 67
1445564132.339:  AA AA 04 80 02 FE A4 DB
1445564132.339:  AA AA 04 80 02 02 BC BF
1445564132.339:  AA AA 04 80 02 02 F8 83
1445564132.339:  AA AA 04 80 02 FF 67 17
1445564132.339:  AA AA 04 80 02 FD F6 8A
1445564132.339:  AA AA 04 80
1445564132.347:  02 00 96 E7
1445564132.358:  AA AA 04 80 02 02 9A E1
1445564132.358:  AA AA 04 80 02 FF 6B 13
1445564132.358:  AA AA 04 80 02 FC B3 CE
1445564132.359:  AA AA 04 80 02 FF 6A 14
1445564132.359:  AA AA 04 80 02 03 04 76
1445564132.359:  AA AA 04 80 02 01 2D 4F
1445564132.359:  AA AA 04 80 02 FE 1E 61
1445564132.359:  AA AA 04 80 02 FE 9C E3
1445564132.359:  AA AA 04 80 02 01 F1 8B
1445564132.359:  AA AA 04 80 02 01 DC A0
1445564132.359:  AA AA 04 80 02 FE 4E 31
1445564132.359:  AA AA 04 80 02 FE 2E 51
1445564132.359:  AA AA 04 80 02 02 47 34
1445564132.359:  AA AA 04 80 02 03 7A 00
1445564132.359:  AA AA 04 80 02 FF FB 83
1445564132.359:  AA AA 04 80 02 FD D4 AC
1445564132.361:  AA AA 04 80 02 00 01 7C
1445564132.361:  AA AA 04 80 02 02 E5 96
1445564132.361:  AA AA 04 80 02 00 CA B3
1445564132.361:  AA AA 04 80 02 FD C9 B7
1445564132.361:  AA AA 04 80 02 FF DD A1
1445564132.361:  AA AA 04 80 02 03 B9 C1
1445564132.361:  AA AA 04 80 02 02 5B 20
1445564132.361:  AA AA 04 80 02 FE D8 A7
1445564132.361:  AA AA 04 80 02 FE 8C F3
1445564132.361:  AA AA 04 80 02 01 AC D0
1445564132.361:  AA AA 04 80 02 02 71 0A
1445564132.361:  AA AA 04 80 02 FF 1F 5F
1445564132.361:  AA AA 04 80 02 FE 48 37
1445564132.361:  AA AA 04 80 02 01 F9 83
1445564132.361:  AA AA 04 80 02 03 E4 96
1445564132.361:  AA AA 20 02 C8 83 18 01
1445564132.369:  3B DF 00 46 BA 00 10 56 00 39 6B 00 2D B0 00 1E 77 00 39 FD 00 10 60 04 00 05 00 54
1445564132.380:  AA AA 04 80 02 00 86 F7
1445564132.381:  AA AA 04 80 02 FD E2 9E
1445564132.381:  AA AA 04 80 02 FF 38 46
1445564132.381:  AA AA 04 80 02 01 D1 AB
1445564132.381:  AA AA 04 80 02 00 11 6C
1445564132.381:  AA AA 04 80 02 FC DB A6
1445564132.381:  AA AA 04 80 02 FE 89 F6
1445564132.381:  AA AA 04 80 02 03 06 74
1445564132.381:  AA AA 04 80 02 02 3D 3E
1445564132.381:  AA AA 04 80 02 FE 1A 65
1445564132.381:  AA AA 04 80 02 FD 5E 22
1445564132.381:  AA AA 04 80 02 00 B8 C5
1445564132.381:  AA AA 04 80 02 02 30 4B
1445564132.381:  AA AA 04 80 02 FE D5 AA
1445564132.381:  AA AA 04 80 02 FD 2F 51
1445564132.381:  AA AA 04 80 02 00 C5 B8
1445564132.381:  AA AA 04 80 02 03 B4 C6
1445564132.382:  AA AA 04 80 02 00 FC 81
1445564132.382:  AA AA 04 80 02 FD DC A4
1445564132.382:  AA AA 04 80 02 FE EE 91
1445564132.382:  AA AA 04 80 02 02 34 47
1445564132.382:  AA AA 04 80 02 01 5C 20
1445564132.382:  AA AA 04 80 02 FD F9 87
1445564132.382:  AA AA 04 80 02 FE A4 DB
1445564132.382:  AA AA 04 80 02 02 9A E1
1445564132.382:  AA AA 04 80 02 02 C2 B9
